"","Ind_ID","GENDER","Car_Owner","Propert_Owner","CHILDREN","Annual_income","Type_Income","EDUCATION","Marital_status","Housing_type","Employed_days","Mobile_phone","Work_Phone","Phone","EMAIL_ID","Family_Members","label","Birthday_date","age","Employed"
"1",5008827,"M","Y","Y",0,180000,"Pensioner","Higher education","Married","House / apartment",365243,1,0,0,0,2,1,1972-06-29,51,"n"
"2",5008865,"F","Y","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-3173,1,0,0,0,4,0,1980-09-26,43,"y"
"3",5008889,"F","N","Y",0,247500,"Commercial associate","Higher education","Separated","Rented apartment",-1347,1,0,0,0,1,0,1977-04-20,46,"y"
"4",5009000,"M","Y","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-828,1,0,0,0,2,0,1996-09-16,27,"y"
"5",5009023,"F","N","Y",2,216000,"State servant","Higher education","Married","House / apartment",-3112,1,0,0,1,4,0,1981-08-09,42,"y"
"6",5009053,"F","N","Y",2,202500,"Working","Higher education","Married","House / apartment",-2289,1,0,0,1,4,0,1993-10-12,30,"y"
"7",5009074,"F","Y","Y",1,450000,"State servant","Higher education","Married","House / apartment",-708,1,0,1,1,3,0,1975-05-11,48,"y"
"8",5009118,"F","N","N",0,157500,"Commercial associate","Higher education","Separated","With parents",-432,1,0,0,0,1,0,1980-10-20,43,"y"
"9",5009146,"M","Y","N",0,315000,"Working","Higher education","Married","House / apartment",-3720,1,1,1,0,2,0,1980-07-24,43,"y"
"10",5009195,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-8684,1,1,1,0,2,0,1966-07-10,57,"y"
"11",5009207,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-8684,1,1,1,0,2,0,1966-07-10,57,"y"
"12",5009269,"M","Y","N",0,337500,"State servant","Higher education","Married","With parents",-1652,1,1,1,0,2,0,1995-10-13,28,"y"
"13",5009291,"F","N","N",0,130500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-4816,1,0,1,0,2,0,1982-06-09,41,"y"
"14",5009301,"F","N","N",0,193500,"Working","Secondary / secondary special","Single / not married","Municipal apartment",-1866,1,0,1,0,1,0,1979-10-24,44,"y"
"15",5009319,"F","Y","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,1,1,2,0,1968-09-30,55,"n"
"16",5009443,"F","N","N",0,90000,"State servant","Secondary / secondary special","Married","House / apartment",-1682,1,0,1,0,2,0,1997-11-28,25,"y"
"17",5009472,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-9870,1,1,1,0,2,0,1969-12-12,53,"y"
"18",5009567,"M","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-3143,1,1,1,0,2,0,1982-05-27,41,"y"
"19",5009579,"F","N","N",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1965-07-12,58,"n"
"20",5009586,"F","N","N",0,45000,"Working","Secondary / secondary special","Separated","House / apartment",-798,1,0,1,0,1,0,1984-07-14,39,"y"
"21",5009663,"M","N","N",0,225000,"Working","Higher education","Single / not married","House / apartment",-1774,1,1,0,0,1,0,1996-01-21,27,"y"
"22",5009706,"F","N","N",0,157500,"Working","Higher education","Married","House / apartment",-344,1,0,0,0,2,0,1992-01-04,31,"y"
"23",5009739,"F","Y","N",0,99000,"Working","Secondary / secondary special","Married","House / apartment",-4392,1,1,1,0,2,0,1983-10-05,40,"y"
"24",5009744,"F","Y","N",0,315000,"Commercial associate","Higher education","Married","House / apartment",-586,1,1,1,0,2,1,1986-10-09,37,"y"
"27",5009752,"F","Y","N",0,315000,"Commercial associate","Higher education","Married","House / apartment",-586,1,1,1,0,2,1,1986-10-09,37,"y"
